A sua empresa oferece beneficios referentes a saude mental como parte dos beneficios de saude?,"A sua empresa ja debateu saude mental formalmente (por exemplo, via um programa de concientizacao corporativo)?",A sua empresa oferece recursos para aprender mais sobre saude mental e alternativas para buscar ajuda?,A sua privacidade eh protegida se voce optar por um tratamento de saude mental oferecido pela sua empresa?,"Caso voce sinta a necessidade de solicitar uma licenca do trabalho devido a saude mental, quao facil ou dificil seria fazer essa solicitacao?",Voce se sentiria confortavel discutindo uma questao de saude mental com o seu chefe direto?,Voce se sentiria confortavel discutindo uma questao de saude mental com os seus pares?,O quao propenso voce estaria em dividir com amigos e familiares que voce possui uma doenca mental?,"Se voce revelou uma doenca mental para um cliente ou contato de negocio, como isso afetou voce e/ou o relacionamento?","Se voce revelou uma doenca mental para um para par ou funcionario, como isso afetou voce e/ou o relacionamento?",Idade,Genero,Qual pais voce reside?,Qual pais voce trabalha?,Voce ja foi diagnosticado com uma doenca mental?,Voce ja procurou tratamento profissional para uma doenca mental?
Sim,Sim,Sim,Sim,Um pouco dificil,Nao,Nao,3,,,57.0,Feminino,Canada,Canada,,Sim
Sim,Nao,Eu nao sei,Eu nao sei,Um pouco dificil,Nao,Nao,3,,,29.0,masculino,United States,United States,Sim,Sim
Sim,Nao,Nao,Eu nao sei,Facil,Nao,Nao,2,,,46.0,Masculino,United States,United States,,Nao
Sim,Sim,Sim,Sim,Facil,Sim,Sim,7,,,29.0,Ostensivamente Masculino,United States,United States,Sim,Sim
Sim,Nao,Eu nao sei,Eu nao sei,Facil,Sim,Sim,8,,,55.0,masculino,United States,United States,,Nao
Sim,Nao,Sim,Eu nao sei,Um pouco dificil,Nao,Nao,5,,,37.0,Masculino,United States,United States,,Nao
Sim,Sim,Sim,Eu nao sei,Facil,Talvez,Talvez,8,,,45.0,Masculino,United States,United States,Sim,Sim
Nao,Nao,Nao,Eu nao sei,Muito Facil,Talvez,Nao,7,,,31.0,Masculino,Germany,Germany,Sim,Sim
,,,,,,,4,,Nao aplicavel,38.0,Feminino,Canada,Canada,,Nao
Eu nao sei,Nao,Eu nao sei,Eu nao sei,Facil,Talvez,Sim,2,,,26.0,Masculino,Germany,Germany,,Nao
Sim,Nao,Nao,Eu nao sei,Um pouco dificil,Talvez,Talvez,9,,,35.0,Masculino,Canada,Canada,Sim,Sim
Sim,Nao,Sim,Eu nao sei,Nem facil nem dificil,Nao,Nao,8,,,47.0,Masculino,United States,United States,Sim,Nao
Sim,Eu nao sei,Eu nao sei,Eu nao sei,Eu nao sei,Talvez,Talvez,8,,,37.0,Masculino,United States,United States,Sim,Sim
,,,,,,,10,Sem mudanca,Nao tenho certeza,46.0,Masculino,United Kingdom,United Kingdom,Sim,Sim
Sim,Nao,Eu nao sei,Eu nao sei,Facil,Nao,Sim,8,,,37.0,Masculino,United States,United States,Sim,Sim
Sim,Eu nao sei,Sim,Sim,Facil,Sim,Talvez,8,,,36.0,masculino,United States,United States,Sim,Sim
Sim,Nao,Nao,Eu nao sei,Muito Facil,Nao,Nao,6,,,45.0,Masculino,United States,United States,,Sim
Eu nao sei,Nao,Eu nao sei,Eu nao sei,Um pouco dificil,Talvez,Talvez,6,,,30.0,Masculino,United States,United States,,Nao
Nao,Sim,Nao,Eu nao sei,Muito Facil,Talvez,Talvez,7,,,46.0,masculino,Germany,Germany,,Sim
Nao,Nao,Nao,Eu nao sei,Dificil,Nao,Talvez,5,,,29.0,masculino,India,India,,Nao
,,,,,,,9,Sem mudanca,Nao aplicavel,26.0,Masculino,United States,United States,Sim,Sim
Eu nao sei,Nao,Eu nao sei,Eu nao sei,Dificil,Nao,Nao,0,,,44.0,Masculino,Canada,Canada,Sim,Sim
Sim,Nao,Eu nao sei,Eu nao sei,Nem facil nem dificil,Nao,Talvez,5,,,32.0,Masculino,United States,United States,,Nao
Sim,Sim,Sim,Sim,Muito Facil,Talvez,Sim,5,,,19.0,masculino,Australia,Australia,,Nao
Eu nao sei,Nao,Eu nao sei,Eu nao sei,Eu nao sei,Nao,Nao,2,,,38.0,M,United Kingdom,United Kingdom,Sim,Sim
Nao elegivel - NA,Nao,Nao,Nao,Dificil,Nao,Nao,2,,,61.0,Masculino,United States,United States,Sim,Sim
Sim,Nao,Eu nao sei,Eu nao sei,Eu nao sei,Nao,Sim,8,,,44.0,Masculino,United States,United States,,Nao
,,,,,,,8,,Nao tenho certeza,32.0,Feminino ,United States,United States,Sim,Sim
Sim,Sim,Sim,Eu nao sei,Nem facil nem dificil,Sim,Nao,6,,,30.0,Feminino,United States,United States,,Sim
Eu nao sei,Nao,Nao,Eu nao sei,Eu nao sei,Nao,Nao,9,,,44.0,masculino,United States,United States,Sim,Sim
Eu nao sei,Nao,Nao,Eu nao sei,Muito Facil,Sim,Sim,10,,,39.0,Masculino,United States,United States,Sim,Sim
,,,,,,,4,,Nao aplicavel,30.0,,Netherlands,Netherlands,,Nao
Eu nao sei,Nao,Nao,Sim,Um pouco dificil,Nao,Talvez,0,,,39.0,masculino,United States,United States,,Nao
Sim,Sim,Sim,Eu nao sei,Muito Facil,Sim,Sim,8,,,33.0,masculino,United States,United States,Sim,Sim
,,,,,,,7,,Nao aplicavel,37.0,Masculino,United States,United States,,Nao
Nao,Sim,Sim,Eu nao sei,Muito Facil,Talvez,Sim,10,,,28.0,Masculino,India,India,,Nao
Eu nao sei,Nao,Nao,Eu nao sei,Facil,Nao,Sim,0,,,42.0,masculino,United States,United States,,Nao
